BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
2,obras\Camilo-A_Brasileira_de_Prazins.md,AdjectiveTotal,,3001
2,obras\Camilo-A_Brasileira_de_Prazins.md,AdverbTotal,,3053
2,obras\Camilo-A_Brasileira_de_Prazins.md,InterjectionTotal,,49
2,obras\Camilo-A_Brasileira_de_Prazins.md,NounTotal,,12882
2,obras\Camilo-A_Brasileira_de_Prazins.md,NumberTotal,,673
2,obras\Camilo-A_Brasileira_de_Prazins.md,PunctuationTotal,,10340
2,obras\Camilo-A_Brasileira_de_Prazins.md,VerbTotal,,8529
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,grande,96
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,bom,63
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,velho,58
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,primeiro,37
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,mesmo,32
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,realista,26
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,cheio,25
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,rico,25
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,antigo,21
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,pobre,21
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,branco,17
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,forte,16
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,novo,15
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,pequeno,15
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adjective,alto,14
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,não,607
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,muito,236
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,mais,185
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,quando,160
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,já,118
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,depois,97
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,lá,78
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,bem,65
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,como,53
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,ainda,52
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,assim,51
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,então,46
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,também,43
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,pouco,42
2,obras\Camilo-A_Brasileira_de_Prazins.md,Adverb,aí,41
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,ah,8
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Oh,7
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,ai,6
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Ó,4
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,mau,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Deus,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,arre,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,dizia-lhe,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,dá-se-lhe,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,oh,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Caramba,1
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Olha,1
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Ouvi,1
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Toma,1
2,obras\Camilo-A_Brasileira_de_Prazins.md,Interjection,Tu,1
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,padre,158
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,pai,115
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,casa,110
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,homem,110
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,abade,96
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,ano,91
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,mulher,86
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,mão,83
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,dia,74
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,filho,73
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,carta,72
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,amigo,64
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,vez,64
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,sr.,63
2,obras\Camilo-A_Brasileira_de_Prazins.md,Noun,pedreiro,61
2,obras\Camilo-A_Brasileira_de_Prazins.md,Numbers,dois,125
