BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Braga,51
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Cerveira,29
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Porto,29
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Caldelas,23
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Guimarães,16
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Lamelas,13
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Minho,13
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Calvos,12
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Póvoa de Lanhoso,12
2,obras\Camilo-A_Brasileira_de_Prazins.md,locais,Libânia,11
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Marta,121
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Zeferino,58
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Veríssimo,44
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,José Dias,43
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Deus,42
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Simeão,40
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Feliciano,39
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,D. Miguel,32
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,Sr. D. Miguel,31
2,obras\Camilo-A_Brasileira_de_Prazins.md,pessoas,D. Teresa,28
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Marta,11
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Nunes,8
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Zeferino,4
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Melro,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Prazins,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Carta Constitucional,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Companhia,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Lamelas,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Ordem de S. Miguel da Ala,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,organizações,Ramalhão,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Zeferino,9
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Veja,4
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Chaves,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Há-de,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Inferno,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Maria da Fonte,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Natal,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Sua Majestade,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Vitorino,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,misc,Anjo da Guarda,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1845,9
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1835,4
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1838,4
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1882,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1817,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1828,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1846,3
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,7500,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1834,2
2,obras\Camilo-A_Brasileira_de_Prazins.md,datas,1833,2
