BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
3,obras\Camilo-A_filha_do_doutor_negro.md,AdjectiveTotal,,2869
3,obras\Camilo-A_filha_do_doutor_negro.md,AdverbTotal,,3150
3,obras\Camilo-A_filha_do_doutor_negro.md,InterjectionTotal,,46
3,obras\Camilo-A_filha_do_doutor_negro.md,NounTotal,,13728
3,obras\Camilo-A_filha_do_doutor_negro.md,NumberTotal,,515
3,obras\Camilo-A_filha_do_doutor_negro.md,PunctuationTotal,,10638
3,obras\Camilo-A_filha_do_doutor_negro.md,VerbTotal,,9394
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,bom,78
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,grande,74
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,primeiro,50
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,negro,49
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,mesmo,47
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,pobre,42
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,último,35
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,Negro,30
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,novo,20
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,preciso,20
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,seguinte,20
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,infeliz,19
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,inocente,18
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,necessário,18
3,obras\Camilo-A_filha_do_doutor_negro.md,Adjective,segundo,18
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,não,689
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,mais,216
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,já,126
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,quando,110
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,aqui,97
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,ainda,90
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,assim,90
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,depois,79
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,muito,79
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,bem,75
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,lá,74
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,como,68
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,tão,65
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,pois,57
3,obras\Camilo-A_filha_do_doutor_negro.md,Adverb,agora,51
3,obras\Camilo-A_filha_do_doutor_negro.md,Interjection,Tu,5
3,obras\Camilo-A_filha_do_doutor_negro.md,Interjection,adeus,5
3,obras\Camilo-A_filha_do_doutor_negro.md,Interjection,Oh,3
3,obras\Camilo-A_filha_do_doutor_negro.md,Interjection,és,3
3,obras\Camilo-A_filha_do_doutor_negro.md,Interjection,Honra,2
