BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
3,obras\Camilo-A_filha_do_doutor_negro.md,global,negative,915,0.015227272727272733
3,obras\Camilo-A_filha_do_doutor_negro.md,global,neutral,58693,0.9766818181818183
3,obras\Camilo-A_filha_do_doutor_negro.md,global,positive,915,0.008136363636363638
3,obras\Camilo-A_filha_do_doutor_negro.md,global,compound,,-0.5097499999999999
3,obras\Camilo-A_filha_do_doutor_negro.md,1,negative,600,0.01
3,obras\Camilo-A_filha_do_doutor_negro.md,1,neutral,57931,0.964
3,obras\Camilo-A_filha_do_doutor_negro.md,1,positive,600,0.026
3,obras\Camilo-A_filha_do_doutor_negro.md,1,compound,,0.9922
3,obras\Camilo-A_filha_do_doutor_negro.md,2,negative,841,0.014
3,obras\Camilo-A_filha_do_doutor_negro.md,2,neutral,58652,0.976
3,obras\Camilo-A_filha_do_doutor_negro.md,2,positive,841,0.01
3,obras\Camilo-A_filha_do_doutor_negro.md,2,compound,,-0.6159
3,obras\Camilo-A_filha_do_doutor_negro.md,3,negative,661,0.011
3,obras\Camilo-A_filha_do_doutor_negro.md,3,neutral,58953,0.981
3,obras\Camilo-A_filha_do_doutor_negro.md,3,positive,661,0.008
3,obras\Camilo-A_filha_do_doutor_negro.md,3,compound,,0.5152
3,obras\Camilo-A_filha_do_doutor_negro.md,4,negative,540,0.009
3,obras\Camilo-A_filha_do_doutor_negro.md,4,neutral,58652,0.976
3,obras\Camilo-A_filha_do_doutor_negro.md,4,positive,540,0.015
3,obras\Camilo-A_filha_do_doutor_negro.md,4,compound,,0.9779
3,obras\Camilo-A_filha_do_doutor_negro.md,5,negative,1261,0.021
3,obras\Camilo-A_filha_do_doutor_negro.md,5,neutral,58592,0.975
3,obras\Camilo-A_filha_do_doutor_negro.md,5,positive,1261,0.004
3,obras\Camilo-A_filha_do_doutor_negro.md,5,compound,,-0.9905
3,obras\Camilo-A_filha_do_doutor_negro.md,6,negative,1201,0.02
3,obras\Camilo-A_filha_do_doutor_negro.md,6,neutral,58412,0.972
3,obras\Camilo-A_filha_do_doutor_negro.md,6,positive,1201,0.009
3,obras\Camilo-A_filha_do_doutor_negro.md,6,compound,,-0.9579
3,obras\Camilo-A_filha_do_doutor_negro.md,7,negative,961,0.016
3,obras\Camilo-A_filha_do_doutor_negro.md,7,neutral,58592,0.975
3,obras\Camilo-A_filha_do_doutor_negro.md,7,positive,961,0.009
3,obras\Camilo-A_filha_do_doutor_negro.md,7,compound,,-0.9639
3,obras\Camilo-A_filha_do_doutor_negro.md,8,negative,600,0.01
3,obras\Camilo-A_filha_do_doutor_negro.md,8,neutral,58532,0.974
3,obras\Camilo-A_filha_do_doutor_negro.md,8,positive,600,0.015
3,obras\Camilo-A_filha_do_doutor_negro.md,8,compound,,0.9511
3,obras\Camilo-A_filha_do_doutor_negro.md,9,negative,721,0.012
3,obras\Camilo-A_filha_do_doutor_negro.md,9,neutral,58712,0.977
3,obras\Camilo-A_filha_do_doutor_negro.md,9,positive,721,0.011
3,obras\Camilo-A_filha_do_doutor_negro.md,9,compound,,0.7669
3,obras\Camilo-A_filha_do_doutor_negro.md,10,negative,901,0.015
3,obras\Camilo-A_filha_do_doutor_negro.md,10,neutral,58532,0.974
3,obras\Camilo-A_filha_do_doutor_negro.md,10,positive,901,0.011
