BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,bom,57
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,mesmo,48
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,grande,40
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,último,37
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,primeiro,29
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,pobre,28
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,novo,21
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,velho,21
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,infeliz,18
1,obras\Camilo-Amor_de_Perdicao.md,Adjective,seguinte,18
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,não,879
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,mais,165
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,já,129
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,quando,112
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,aqui,82
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,ainda,80
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,lá,80
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,assim,72
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,muito,68
1,obras\Camilo-Amor_de_Perdicao.md,Adverb,bem,63
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,não,24
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,adeus,5
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,pois,5
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,Ó,5
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,Tu,3
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,ai,3
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,quê,3
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,Ah,2
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,Oh,2
1,obras\Camilo-Amor_de_Perdicao.md,Interjection,hein,2
1,obras\Camilo-Amor_de_Perdicao.md,Noun,pai,217
1,obras\Camilo-Amor_de_Perdicao.md,Noun,senhor,128
1,obras\Camilo-Amor_de_Perdicao.md,Noun,carta,112
1,obras\Camilo-Amor_de_Perdicao.md,Noun,coração,102
1,obras\Camilo-Amor_de_Perdicao.md,Noun,filha,99
1,obras\Camilo-Amor_de_Perdicao.md,Noun,casa,98
1,obras\Camilo-Amor_de_Perdicao.md,Noun,ano,96
1,obras\Camilo-Amor_de_Perdicao.md,Noun,dia,96
1,obras\Camilo-Amor_de_Perdicao.md,Noun,homem,89
1,obras\Camilo-Amor_de_Perdicao.md,Noun,hora,84
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,dois,88
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,um,88
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,três,35
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,dez,22
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,quatro,18
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,dezoito,16
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,mil,14
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,seis,14
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,quinze,12
1,obras\Camilo-Amor_de_Perdicao.md,Numbers,vinte,9
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,",",4222
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,.,2410
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,—,1428
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,!,442
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,?,403
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,;,336
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,...,331
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,:,234
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,'"',115
1,obras\Camilo-Amor_de_Perdicao.md,Punctuation,#,5
1,obras\Camilo-Amor_de_Perdicao.md,Verb,dizer,387
1,obras\Camilo-Amor_de_Perdicao.md,Verb,ter,300
1,obras\Camilo-Amor_de_Perdicao.md,Verb,saber,166
1,obras\Camilo-Amor_de_Perdicao.md,Verb,ir,147
1,obras\Camilo-Amor_de_Perdicao.md,Verb,haver,141
1,obras\Camilo-Amor_de_Perdicao.md,Verb,poder,137
1,obras\Camilo-Amor_de_Perdicao.md,Verb,querer,137
1,obras\Camilo-Amor_de_Perdicao.md,Verb,fazer,123
1,obras\Camilo-Amor_de_Perdicao.md,Verb,dar,120
1,obras\Camilo-Amor_de_Perdicao.md,Verb,ver,116
