BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
1,obras\Camilo-Amor_de_Perdicao.md,locais,Mariana,142
1,obras\Camilo-Amor_de_Perdicao.md,locais,Viseu,56
1,obras\Camilo-Amor_de_Perdicao.md,locais,Porto,38
1,obras\Camilo-Amor_de_Perdicao.md,locais,Coimbra,37
1,obras\Camilo-Amor_de_Perdicao.md,locais,Lisboa,24
1,obras\Camilo-Amor_de_Perdicao.md,locais,Índia,9
1,obras\Camilo-Amor_de_Perdicao.md,locais,Espanha,6
1,obras\Camilo-Amor_de_Perdicao.md,locais,Monchique,5
1,obras\Camilo-Amor_de_Perdicao.md,locais,Portugal,5
1,obras\Camilo-Amor_de_Perdicao.md,locais,Albuquerque,4
1,obras\Camilo-Amor_de_Perdicao.md,locais,Cascais,4
1,obras\Camilo-Amor_de_Perdicao.md,locais,Mosqueira,4
1,obras\Camilo-Amor_de_Perdicao.md,locais,Universidade,4
1,obras\Camilo-Amor_de_Perdicao.md,locais,Douro,3
1,obras\Camilo-Amor_de_Perdicao.md,locais,França,3
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Simão Botelho,254
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Teresa Albuquerque,204
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Baltasar Coutinho,53
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,João da Cruz,49
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Deus,44
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Tadeu de Albuquerque,25
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,D. Rita,24
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,João,23
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Manuel de Sousa Coutinho,22
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Domingos Botelho,20
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Tadeu,13
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Rita,10
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Joaquina,8
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Manuel Botelho,7
1,obras\Camilo-Amor_de_Perdicao.md,pessoas,Quis,7
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Igreja,2
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Ordenações do Reino,2
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Albuquerque,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Bragança,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Considero-te,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Corunha Manuel Botelho,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Emaçou,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Importa,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Jau,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Ouviu,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Prometeu-lhe,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Rompeu,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,Tremia,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,madre
prioresa.,1
1,obras\Camilo-Amor_de_Perdicao.md,organizações,magistrado.,1
1,obras\Camilo-Amor_de_Perdicao.md,misc,Mariana?,8
1,obras\Camilo-Amor_de_Perdicao.md,misc,Castro-d'Aire,5
1,obras\Camilo-Amor_de_Perdicao.md,misc,CAPÍTULO,4
1,obras\Camilo-Amor_de_Perdicao.md,misc,Deus!,4
1,obras\Camilo-Amor_de_Perdicao.md,misc,Deus?,3
1,obras\Camilo-Amor_de_Perdicao.md,misc,Constança?,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,Dezoito anos!,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,João,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,Mariana!...,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,Mariana...,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,Olé!,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,Teresa!,2
1,obras\Camilo-Amor_de_Perdicao.md,misc,A mendiga não
retrocedeu,1
1,obras\Camilo-Amor_de_Perdicao.md,misc,A minha imagem,1
1,obras\Camilo-Amor_de_Perdicao.md,misc,Anda daí!,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1805,4
1,obras\Camilo-Amor_de_Perdicao.md,datas,1803,3
1,obras\Camilo-Amor_de_Perdicao.md,datas,1807,3
1,obras\Camilo-Amor_de_Perdicao.md,datas,1862,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1861,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1779,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1767,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1758,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1784,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1801,1
1,obras\Camilo-Amor_de_Perdicao.md,datas,1800,1
