BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
1,obras\Camilo-Amor_de_Perdicao.md,global,negative,680,0.013736842105263158
1,obras\Camilo-Amor_de_Perdicao.md,global,neutral,48356,0.9762631578947368
1,obras\Camilo-Amor_de_Perdicao.md,global,positive,680,0.010157894736842109
1,obras\Camilo-Amor_de_Perdicao.md,global,compound,,-0.1611526315789474
1,obras\Camilo-Amor_de_Perdicao.md,1,negative,742,0.015
1,obras\Camilo-Amor_de_Perdicao.md,1,neutral,48491,0.979
1,obras\Camilo-Amor_de_Perdicao.md,1,positive,742,0.006
1,obras\Camilo-Amor_de_Perdicao.md,1,compound,,-0.9541
1,obras\Camilo-Amor_de_Perdicao.md,2,negative,1337,0.027
1,obras\Camilo-Amor_de_Perdicao.md,2,neutral,47104,0.951
1,obras\Camilo-Amor_de_Perdicao.md,2,positive,1337,0.022
1,obras\Camilo-Amor_de_Perdicao.md,2,compound,,0.416
1,obras\Camilo-Amor_de_Perdicao.md,3,negative,693,0.014
1,obras\Camilo-Amor_de_Perdicao.md,3,neutral,47946,0.968
1,obras\Camilo-Amor_de_Perdicao.md,3,positive,693,0.018
1,obras\Camilo-Amor_de_Perdicao.md,3,compound,,0.9406
1,obras\Camilo-Amor_de_Perdicao.md,4,negative,643,0.013
1,obras\Camilo-Amor_de_Perdicao.md,4,neutral,47847,0.966
1,obras\Camilo-Amor_de_Perdicao.md,4,positive,643,0.021
1,obras\Camilo-Amor_de_Perdicao.md,4,compound,,0.9748
1,obras\Camilo-Amor_de_Perdicao.md,5,negative,247,0.005
1,obras\Camilo-Amor_de_Perdicao.md,5,neutral,48640,0.982
1,obras\Camilo-Amor_de_Perdicao.md,5,positive,247,0.013
1,obras\Camilo-Amor_de_Perdicao.md,5,compound,,0.9748
1,obras\Camilo-Amor_de_Perdicao.md,6,negative,445,0.009
1,obras\Camilo-Amor_de_Perdicao.md,6,neutral,49036,0.99
1,obras\Camilo-Amor_de_Perdicao.md,6,positive,445,0.002
1,obras\Camilo-Amor_de_Perdicao.md,6,compound,,-0.9706
1,obras\Camilo-Amor_de_Perdicao.md,7,negative,445,0.009
1,obras\Camilo-Amor_de_Perdicao.md,7,neutral,48838,0.986
1,obras\Camilo-Amor_de_Perdicao.md,7,positive,445,0.005
1,obras\Camilo-Amor_de_Perdicao.md,7,compound,,-0.7669
1,obras\Camilo-Amor_de_Perdicao.md,8,negative,396,0.008
1,obras\Camilo-Amor_de_Perdicao.md,8,neutral,48888,0.987
1,obras\Camilo-Amor_de_Perdicao.md,8,positive,396,0.005
1,obras\Camilo-Amor_de_Perdicao.md,8,compound,,-0.8009
1,obras\Camilo-Amor_de_Perdicao.md,9,negative,594,0.012
1,obras\Camilo-Amor_de_Perdicao.md,9,neutral,48739,0.984
1,obras\Camilo-Amor_de_Perdicao.md,9,positive,594,0.005
1,obras\Camilo-Amor_de_Perdicao.md,9,compound,,-0.8787
1,obras\Camilo-Amor_de_Perdicao.md,10,negative,346,0.007
1,obras\Camilo-Amor_de_Perdicao.md,10,neutral,48789,0.985
1,obras\Camilo-Amor_de_Perdicao.md,10,positive,346,0.008
1,obras\Camilo-Amor_de_Perdicao.md,10,compound,,0.8814
1,obras\Camilo-Amor_de_Perdicao.md,11,negative,445,0.009
1,obras\Camilo-Amor_de_Perdicao.md,11,neutral,48937,0.988
1,obras\Camilo-Amor_de_Perdicao.md,11,positive,445,0.003
1,obras\Camilo-Amor_de_Perdicao.md,11,compound,,-0.8841
1,obras\Camilo-Amor_de_Perdicao.md,12,negative,941,0.019
1,obras\Camilo-Amor_de_Perdicao.md,12,neutral,47798,0.965
1,obras\Camilo-Amor_de_Perdicao.md,12,positive,941,0.015
1,obras\Camilo-Amor_de_Perdicao.md,12,compound,,0.5897
1,obras\Camilo-Amor_de_Perdicao.md,13,negative,742,0.015
1,obras\Camilo-Amor_de_Perdicao.md,13,neutral,48194,0.973
1,obras\Camilo-Amor_de_Perdicao.md,13,positive,742,0.013
1,obras\Camilo-Amor_de_Perdicao.md,13,compound,,0.7452
1,obras\Camilo-Amor_de_Perdicao.md,14,negative,594,0.012
1,obras\Camilo-Amor_de_Perdicao.md,14,neutral,48491,0.979
1,obras\Camilo-Amor_de_Perdicao.md,14,positive,594,0.009
1,obras\Camilo-Amor_de_Perdicao.md,14,compound,,-0.5615
1,obras\Camilo-Amor_de_Perdicao.md,15,negative,842,0.017
1,obras\Camilo-Amor_de_Perdicao.md,15,neutral,48194,0.973
1,obras\Camilo-Amor_de_Perdicao.md,15,positive,842,0.01
1,obras\Camilo-Amor_de_Perdicao.md,15,compound,,-0.9048
1,obras\Camilo-Amor_de_Perdicao.md,16,negative,1188,0.024
1,obras\Camilo-Amor_de_Perdicao.md,16,neutral,48046,0.97
1,obras\Camilo-Amor_de_Perdicao.md,16,positive,1188,0.006
1,obras\Camilo-Amor_de_Perdicao.md,16,compound,,-0.9849
1,obras\Camilo-Amor_de_Perdicao.md,17,negative,842,0.017
1,obras\Camilo-Amor_de_Perdicao.md,17,neutral,48343,0.976
1,obras\Camilo-Amor_de_Perdicao.md,17,positive,842,0.008
1,obras\Camilo-Amor_de_Perdicao.md,17,compound,,-0.8284
1,obras\Camilo-Amor_de_Perdicao.md,18,negative,544,0.011
1,obras\Camilo-Amor_de_Perdicao.md,18,neutral,48392,0.977
1,obras\Camilo-Amor_de_Perdicao.md,18,positive,544,0.012
1,obras\Camilo-Amor_de_Perdicao.md,18,compound,,0.8372
1,obras\Camilo-Amor_de_Perdicao.md,19,negative,891,0.018
1,obras\Camilo-Amor_de_Perdicao.md,19,neutral,48046,0.97
1,obras\Camilo-Amor_de_Perdicao.md,19,positive,891,0.012
1,obras\Camilo-Amor_de_Perdicao.md,19,compound,,-0.8867
