BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Porto,60
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Brasil,29
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Portugal,23
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Silveira,20
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Póvoa de Varzim,17
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Braga,15
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Rio,15
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Espanha,14
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Lisboa,8
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Rio de Janeiro,8
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Valadares,8
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Barbeita,7
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Valença,7
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,tabelião Ferreira,7
3,obras\Camilo-A_filha_do_doutor_negro.md,locais,Calçada do Mirante,6
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Albertina,243
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,João Crisóstomo,204
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,António da Silveira,116
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Negro,63
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,V. Sª,55
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Deus,52
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Caetano Alves,43
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,João,36
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Agostinho José Chaves,34
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Caetano Alves de Carvalho,28
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Francisco Simões,26
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Caetano,24
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Silveira,23
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Cícero,22
3,obras\Camilo-A_filha_do_doutor_negro.md,pessoas,Simão de Valadares,22
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Ordem de S. Francisco,4
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Providência,4
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Barbeita,2
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Brasil?,2
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Corunha.,2
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Academia do Porto,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Alpedrinhas,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Altíssimo,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Corunha,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Deixá-lo-emos,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Devo,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Flos,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Habemus,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Importa,1
3,obras\Camilo-A_filha_do_doutor_negro.md,organizações,Jurisperito.,1
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Providência,7
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Deus!,5
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Chaves,4
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,O senhor,4
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Albertina!,3
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Criador,3
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,O quê?,3
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Veja,3
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Albertina?,2
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Bem hajas!,2
3,obras\Camilo-A_filha_do_doutor_negro.md,misc,Deus,2
