BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
4,obras\Camilo-O_regicida.md,AdjectiveTotal,,2277
4,obras\Camilo-O_regicida.md,AdverbTotal,,2939
4,obras\Camilo-O_regicida.md,InterjectionTotal,,46
4,obras\Camilo-O_regicida.md,NounTotal,,11280
4,obras\Camilo-O_regicida.md,NumberTotal,,546
4,obras\Camilo-O_regicida.md,PunctuationTotal,,8837
4,obras\Camilo-O_regicida.md,VerbTotal,,8051
4,obras\Camilo-O_regicida.md,Adjective,grande,78
4,obras\Camilo-O_regicida.md,Adjective,bom,65
4,obras\Camilo-O_regicida.md,Adjective,mesmo,58
4,obras\Camilo-O_regicida.md,Adjective,primeiro,43
4,obras\Camilo-O_regicida.md,Adjective,real,26
4,obras\Camilo-O_regicida.md,Adjective,pobre,17
4,obras\Camilo-O_regicida.md,Adjective,português,17
4,obras\Camilo-O_regicida.md,Adjective,rico,17
4,obras\Camilo-O_regicida.md,Adjective,seguinte,17
4,obras\Camilo-O_regicida.md,Adjective,dito,16
4,obras\Camilo-O_regicida.md,Adjective,pequeno,13
4,obras\Camilo-O_regicida.md,Adjective,segundo,13
4,obras\Camilo-O_regicida.md,Adjective,antigo,12
4,obras\Camilo-O_regicida.md,Adjective,próprio,12
4,obras\Camilo-O_regicida.md,Adjective,querido,12
4,obras\Camilo-O_regicida.md,Adverb,não,638
4,obras\Camilo-O_regicida.md,Adverb,mais,193
4,obras\Camilo-O_regicida.md,Adverb,quando,107
4,obras\Camilo-O_regicida.md,Adverb,depois,85
4,obras\Camilo-O_regicida.md,Adverb,já,84
4,obras\Camilo-O_regicida.md,Adverb,ainda,71
4,obras\Camilo-O_regicida.md,Adverb,lá,71
4,obras\Camilo-O_regicida.md,Adverb,tão,69
4,obras\Camilo-O_regicida.md,Adverb,assim,67
4,obras\Camilo-O_regicida.md,Adverb,bem,66
4,obras\Camilo-O_regicida.md,Adverb,muito,60
4,obras\Camilo-O_regicida.md,Adverb,como,57
4,obras\Camilo-O_regicida.md,Adverb,aqui,53
4,obras\Camilo-O_regicida.md,Adverb,então,45
4,obras\Camilo-O_regicida.md,Adverb,antes,41
4,obras\Camilo-O_regicida.md,Interjection,Tu,4
4,obras\Camilo-O_regicida.md,Interjection,adeus,4
4,obras\Camilo-O_regicida.md,Interjection,ai,4
4,obras\Camilo-O_regicida.md,Interjection,vil,4
4,obras\Camilo-O_regicida.md,Interjection,Olha,3
4,obras\Camilo-O_regicida.md,Interjection,ah,3
4,obras\Camilo-O_regicida.md,Interjection,Ó,3
4,obras\Camilo-O_regicida.md,Interjection,Ah,2
4,obras\Camilo-O_regicida.md,Interjection,Oh,2
4,obras\Camilo-O_regicida.md,Interjection,deus,2
4,obras\Camilo-O_regicida.md,Interjection,não,2
4,obras\Camilo-O_regicida.md,Interjection,oh,2
4,obras\Camilo-O_regicida.md,Interjection,Ai,1
4,obras\Camilo-O_regicida.md,Interjection,Basta,1
4,obras\Camilo-O_regicida.md,Interjection,Deus,1
4,obras\Camilo-O_regicida.md,Noun,\-,613
4,obras\Camilo-O_regicida.md,Noun,filha,150
4,obras\Camilo-O_regicida.md,Noun,rei,139
4,obras\Camilo-O_regicida.md,Noun,casa,128
4,obras\Camilo-O_regicida.md,Noun,homem,110
4,obras\Camilo-O_regicida.md,Noun,mulher,103
4,obras\Camilo-O_regicida.md,Noun,padre,93
4,obras\Camilo-O_regicida.md,Noun,pai,89
4,obras\Camilo-O_regicida.md,Noun,marido,86
4,obras\Camilo-O_regicida.md,Noun,amigo,78
4,obras\Camilo-O_regicida.md,Noun,marquês,78
4,obras\Camilo-O_regicida.md,Noun,mão,76
4,obras\Camilo-O_regicida.md,Noun,hora,73
4,obras\Camilo-O_regicida.md,Noun,vez,71
4,obras\Camilo-O_regicida.md,Noun,ano,70
4,obras\Camilo-O_regicida.md,Numbers,dois,98
4,obras\Camilo-O_regicida.md,Numbers,um,60
4,obras\Camilo-O_regicida.md,Numbers,três,40
4,obras\Camilo-O_regicida.md,Numbers,mil,25
4,obras\Camilo-O_regicida.md,Numbers,1,20
4,obras\Camilo-O_regicida.md,Numbers,quatro,17
4,obras\Camilo-O_regicida.md,Numbers,vinte,16
4,obras\Camilo-O_regicida.md,Numbers,1647,12
4,obras\Camilo-O_regicida.md,Numbers,dez,11
4,obras\Camilo-O_regicida.md,Numbers,1641,10
4,obras\Camilo-O_regicida.md,Numbers,trinta,10
4,obras\Camilo-O_regicida.md,Numbers,1640,9
4,obras\Camilo-O_regicida.md,Numbers,2,8
4,obras\Camilo-O_regicida.md,Numbers,quinze,8
4,obras\Camilo-O_regicida.md,Numbers,onze,7
4,obras\Camilo-O_regicida.md,Punctuation,",",4574
4,obras\Camilo-O_regicida.md,Punctuation,.,1969
4,obras\Camilo-O_regicida.md,Punctuation,...,428
4,obras\Camilo-O_regicida.md,Punctuation,-,411
4,obras\Camilo-O_regicida.md,Punctuation,;,339
4,obras\Camilo-O_regicida.md,Punctuation,!,335
4,obras\Camilo-O_regicida.md,Punctuation,?,290
4,obras\Camilo-O_regicida.md,Punctuation,:,203
4,obras\Camilo-O_regicida.md,Punctuation,),71
4,obras\Camilo-O_regicida.md,Punctuation,(,70
4,obras\Camilo-O_regicida.md,Punctuation,«,40
4,obras\Camilo-O_regicida.md,Punctuation,»,39
4,obras\Camilo-O_regicida.md,Punctuation,–,31
4,obras\Camilo-O_regicida.md,Punctuation,#,17
4,obras\Camilo-O_regicida.md,Punctuation,Oh,7
4,obras\Camilo-O_regicida.md,Verb,ter,194
4,obras\Camilo-O_regicida.md,Verb,dizer,188
4,obras\Camilo-O_regicida.md,Verb,saber,138
4,obras\Camilo-O_regicida.md,Verb,fazer,133
4,obras\Camilo-O_regicida.md,Verb,dar,111
4,obras\Camilo-O_regicida.md,Verb,poder,98
4,obras\Camilo-O_regicida.md,Verb,querer,98
4,obras\Camilo-O_regicida.md,Verb,ver,96
4,obras\Camilo-O_regicida.md,Verb,ir,86
4,obras\Camilo-O_regicida.md,Verb,haver,80
4,obras\Camilo-O_regicida.md,Verb,el-rei,67
4,obras\Camilo-O_regicida.md,Verb,ser,65
4,obras\Camilo-O_regicida.md,Verb,matar,64
4,obras\Camilo-O_regicida.md,Verb,\-,61
4,obras\Camilo-O_regicida.md,Verb,entrar,60
