BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
4,obras\Camilo-O_regicida.md,locais,Lisboa,75
4,obras\Camilo-O_regicida.md,locais,Madrid,60
4,obras\Camilo-O_regicida.md,locais,Portugal,41
4,obras\Camilo-O_regicida.md,locais,Espanha,32
4,obras\Camilo-O_regicida.md,locais,Castela,25
4,obras\Camilo-O_regicida.md,locais,Estado,24
4,obras\Camilo-O_regicida.md,locais,Guimarães,15
4,obras\Camilo-O_regicida.md,locais,em Portugal,11
4,obras\Camilo-O_regicida.md,locais,Rua dos Torneiros,10
4,obras\Camilo-O_regicida.md,locais,Alcântara,9
4,obras\Camilo-O_regicida.md,locais,Paço da Ribeira,8
4,obras\Camilo-O_regicida.md,locais,Roma,8
4,obras\Camilo-O_regicida.md,locais,Tejo,7
4,obras\Camilo-O_regicida.md,locais,Céu,6
4,obras\Camilo-O_regicida.md,locais,Fancaria,6
4,obras\Camilo-O_regicida.md,pessoas,Domingos Leite,208
4,obras\Camilo-O_regicida.md,pessoas,Maria Isabel,103
4,obras\Camilo-O_regicida.md,pessoas,D. João IV,78
4,obras\Camilo-O_regicida.md,pessoas,Roque da Cunha,67
4,obras\Camilo-O_regicida.md,pessoas,Domingos Leite Pereira,32
4,obras\Camilo-O_regicida.md,pessoas,Deus,28
4,obras\Camilo-O_regicida.md,pessoas,V. Exª,28
4,obras\Camilo-O_regicida.md,pessoas,marquês de Gouvêa,22
4,obras\Camilo-O_regicida.md,pessoas,Ângela,21
4,obras\Camilo-O_regicida.md,pessoas,Roque,20
4,obras\Camilo-O_regicida.md,pessoas,Senhor,20
4,obras\Camilo-O_regicida.md,pessoas,Senhora,19
4,obras\Camilo-O_regicida.md,pessoas,Bernardo,18
4,obras\Camilo-O_regicida.md,pessoas,V. Sª,18
4,obras\Camilo-O_regicida.md,pessoas,Luís da Silveira,16
4,obras\Camilo-O_regicida.md,organizações,Ordem de Cristo,6
4,obras\Camilo-O_regicida.md,organizações,Traga-Malhas,3
4,obras\Camilo-O_regicida.md,organizações,Companhia de Jesus,2
4,obras\Camilo-O_regicida.md,organizações,Ordem,2
4,obras\Camilo-O_regicida.md,organizações,Raynha,2
4,obras\Camilo-O_regicida.md,organizações,20 de Abril de 1542,1
4,obras\Camilo-O_regicida.md,organizações,Autos,1
4,obras\Camilo-O_regicida.md,organizações,Boca Negra,1
4,obras\Camilo-O_regicida.md,organizações,Comunicou Roque,1
4,obras\Camilo-O_regicida.md,organizações,Conseguido,1
4,obras\Camilo-O_regicida.md,organizações,Conselho de Estado,1
4,obras\Camilo-O_regicida.md,organizações,Conselho de Portugal,1
4,obras\Camilo-O_regicida.md,organizações,Conselhos de Sua Alteza,1
4,obras\Camilo-O_regicida.md,organizações,Consultou-me,1
4,obras\Camilo-O_regicida.md,organizações,Corpo de Deus,1
4,obras\Camilo-O_regicida.md,misc,Pátria,12
4,obras\Camilo-O_regicida.md,misc,Reo,10
4,obras\Camilo-O_regicida.md,misc,O quê?,5
4,obras\Camilo-O_regicida.md,misc,Sua Majestade,5
4,obras\Camilo-O_regicida.md,misc,Cível da corte,4
4,obras\Camilo-O_regicida.md,misc,História de Portugal,4
4,obras\Camilo-O_regicida.md,misc,Princepe,4
4,obras\Camilo-O_regicida.md,misc,Há-de,3
4,obras\Camilo-O_regicida.md,misc,Memórias,3
4,obras\Camilo-O_regicida.md,misc,Roque!,3
4,obras\Camilo-O_regicida.md,misc,Senhora!,3
4,obras\Camilo-O_regicida.md,misc,Serges,3
4,obras\Camilo-O_regicida.md,misc,Correição do Cível,2
4,obras\Camilo-O_regicida.md,misc,Deus!...,2
4,obras\Camilo-O_regicida.md,misc,História da Aclamação,2
4,obras\Camilo-O_regicida.md,datas,1647,12
4,obras\Camilo-O_regicida.md,datas,1641,10
4,obras\Camilo-O_regicida.md,datas,1640,9
4,obras\Camilo-O_regicida.md,datas,1755,5
4,obras\Camilo-O_regicida.md,datas,1642,3
4,obras\Camilo-O_regicida.md,datas,1643,3
4,obras\Camilo-O_regicida.md,datas,1648,2
4,obras\Camilo-O_regicida.md,datas,1637,2
4,obras\Camilo-O_regicida.md,datas,1639,2
4,obras\Camilo-O_regicida.md,datas,1650,2
4,obras\Camilo-O_regicida.md,datas,1882,1
4,obras\Camilo-O_regicida.md,datas,1634,1
4,obras\Camilo-O_regicida.md,datas,1636,1
4,obras\Camilo-O_regicida.md,datas,1542,1
4,obras\Camilo-O_regicida.md,datas,1625,1
