BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
4,obras\Camilo-O_regicida.md,global,negative,740,0.013780487804878052
4,obras\Camilo-O_regicida.md,global,neutral,52798,0.9828536585365852
4,obras\Camilo-O_regicida.md,global,positive,740,0.003390243902439025
4,obras\Camilo-O_regicida.md,global,compound,,-0.6048682926829269
4,obras\Camilo-O_regicida.md,1,negative,752,0.014
4,obras\Camilo-O_regicida.md,1,neutral,52645,0.98
4,obras\Camilo-O_regicida.md,1,positive,752,0.005
4,obras\Camilo-O_regicida.md,1,compound,,-0.8522
4,obras\Camilo-O_regicida.md,2,negative,752,0.014
4,obras\Camilo-O_regicida.md,2,neutral,52753,0.982
4,obras\Camilo-O_regicida.md,2,positive,752,0.004
4,obras\Camilo-O_regicida.md,2,compound,,-0.836
4,obras\Camilo-O_regicida.md,3,negative,913,0.017
4,obras\Camilo-O_regicida.md,3,neutral,52699,0.981
4,obras\Camilo-O_regicida.md,3,positive,913,0.002
4,obras\Camilo-O_regicida.md,3,compound,,-0.965
4,obras\Camilo-O_regicida.md,4,negative,1074,0.02
4,obras\Camilo-O_regicida.md,4,neutral,52538,0.978
4,obras\Camilo-O_regicida.md,4,positive,1074,0.002
4,obras\Camilo-O_regicida.md,4,compound,,-0.9717
4,obras\Camilo-O_regicida.md,5,negative,1235,0.023
4,obras\Camilo-O_regicida.md,5,neutral,52484,0.977
4,obras\Camilo-O_regicida.md,5,positive,1235,0.0
4,obras\Camilo-O_regicida.md,5,compound,,-0.9712
4,obras\Camilo-O_regicida.md,6,negative,1020,0.019
4,obras\Camilo-O_regicida.md,6,neutral,52215,0.972
4,obras\Camilo-O_regicida.md,6,positive,1020,0.009
4,obras\Camilo-O_regicida.md,6,compound,,-0.9067
4,obras\Camilo-O_regicida.md,7,negative,1396,0.026
4,obras\Camilo-O_regicida.md,7,neutral,52162,0.971
4,obras\Camilo-O_regicida.md,7,positive,1396,0.003
4,obras\Camilo-O_regicida.md,7,compound,,-0.987
4,obras\Camilo-O_regicida.md,8,negative,805,0.015
4,obras\Camilo-O_regicida.md,8,neutral,52699,0.981
4,obras\Camilo-O_regicida.md,8,positive,805,0.005
4,obras\Camilo-O_regicida.md,8,compound,,-0.9496
4,obras\Camilo-O_regicida.md,9,negative,483,0.009
4,obras\Camilo-O_regicida.md,9,neutral,53075,0.988
4,obras\Camilo-O_regicida.md,9,positive,483,0.003
4,obras\Camilo-O_regicida.md,9,compound,,-0.8698
4,obras\Camilo-O_regicida.md,10,negative,322,0.006
4,obras\Camilo-O_regicida.md,10,neutral,53182,0.99
4,obras\Camilo-O_regicida.md,10,positive,322,0.004
4,obras\Camilo-O_regicida.md,10,compound,,-0.7669
