BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
3,obras\harry_potter_pedra_filosofal.md,Adjective,grande,186
3,obras\harry_potter_pedra_filosofal.md,Adjective,bom,108
3,obras\harry_potter_pedra_filosofal.md,Adjective,primeiro,99
3,obras\harry_potter_pedra_filosofal.md,Adjective,pequeno,75
3,obras\harry_potter_pedra_filosofal.md,Adjective,cheio,72
3,obras\harry_potter_pedra_filosofal.md,Adjective,estranho,55
3,obras\harry_potter_pedra_filosofal.md,Adjective,enorme,54
3,obras\harry_potter_pedra_filosofal.md,Adjective,mesmo,52
3,obras\harry_potter_pedra_filosofal.md,Adjective,alto,49
3,obras\harry_potter_pedra_filosofal.md,Adjective,último,47
3,obras\harry_potter_pedra_filosofal.md,Adverb,não,1279
3,obras\harry_potter_pedra_filosofal.md,Adverb,mais,309
3,obras\harry_potter_pedra_filosofal.md,Adverb,quando,195
3,obras\harry_potter_pedra_filosofal.md,Adverb,muito,184
3,obras\harry_potter_pedra_filosofal.md,Adverb,lá,171
3,obras\harry_potter_pedra_filosofal.md,Adverb,bem,169
3,obras\harry_potter_pedra_filosofal.md,Adverb,já,148
3,obras\harry_potter_pedra_filosofal.md,Adverb,tão,146
3,obras\harry_potter_pedra_filosofal.md,Adverb,só,128
3,obras\harry_potter_pedra_filosofal.md,Adverb,nunca,124
3,obras\harry_potter_pedra_filosofal.md,Interjection,ah,39
3,obras\harry_potter_pedra_filosofal.md,Interjection,Oh,15
3,obras\harry_potter_pedra_filosofal.md,Interjection,não,15
3,obras\harry_potter_pedra_filosofal.md,Interjection,Olha,9
3,obras\harry_potter_pedra_filosofal.md,Interjection,és,9
3,obras\harry_potter_pedra_filosofal.md,Interjection,hein,8
3,obras\harry_potter_pedra_filosofal.md,Interjection,Ah,5
3,obras\harry_potter_pedra_filosofal.md,Interjection,Ouvi,4
3,obras\harry_potter_pedra_filosofal.md,Interjection,Tu,4
3,obras\harry_potter_pedra_filosofal.md,Interjection,oh,4
3,obras\harry_potter_pedra_filosofal.md,Noun,coisa,219
3,obras\harry_potter_pedra_filosofal.md,Noun,vez,151
3,obras\harry_potter_pedra_filosofal.md,Noun,cabeça,146
3,obras\harry_potter_pedra_filosofal.md,Noun,porta,135
3,obras\harry_potter_pedra_filosofal.md,Noun,professor,123
3,obras\harry_potter_pedra_filosofal.md,Noun,tempo,121
3,obras\harry_potter_pedra_filosofal.md,Noun,olho,120
3,obras\harry_potter_pedra_filosofal.md,Noun,tio,120
3,obras\harry_potter_pedra_filosofal.md,Noun,dia,105
3,obras\harry_potter_pedra_filosofal.md,Noun,ar,104
3,obras\harry_potter_pedra_filosofal.md,Numbers,um,250
3,obras\harry_potter_pedra_filosofal.md,Numbers,dois,132
3,obras\harry_potter_pedra_filosofal.md,Numbers,três,84
3,obras\harry_potter_pedra_filosofal.md,Numbers,cinco,33
3,obras\harry_potter_pedra_filosofal.md,Numbers,dez,29
3,obras\harry_potter_pedra_filosofal.md,Numbers,quatro,28
3,obras\harry_potter_pedra_filosofal.md,Numbers,mil,18
3,obras\harry_potter_pedra_filosofal.md,Numbers,vinte,17
3,obras\harry_potter_pedra_filosofal.md,Numbers,nove,16
3,obras\harry_potter_pedra_filosofal.md,Numbers,cinquenta,12
3,obras\harry_potter_pedra_filosofal.md,Punctuation,.,5385
3,obras\harry_potter_pedra_filosofal.md,Punctuation,",",4634
3,obras\harry_potter_pedra_filosofal.md,Punctuation,-,3389
3,obras\harry_potter_pedra_filosofal.md,Punctuation,?,739
3,obras\harry_potter_pedra_filosofal.md,Punctuation,!,458
3,obras\harry_potter_pedra_filosofal.md,Punctuation,...,378
3,obras\harry_potter_pedra_filosofal.md,Punctuation,--,348
3,obras\harry_potter_pedra_filosofal.md,Punctuation,:,141
3,obras\harry_potter_pedra_filosofal.md,Punctuation,«,82
3,obras\harry_potter_pedra_filosofal.md,Punctuation,'"',79
3,obras\harry_potter_pedra_filosofal.md,Verb,dizer,821
3,obras\harry_potter_pedra_filosofal.md,Verb,ter,615
3,obras\harry_potter_pedra_filosofal.md,Verb,fazer,342
3,obras\harry_potter_pedra_filosofal.md,Verb,estar,260
3,obras\harry_potter_pedra_filosofal.md,Verb,saber,248
3,obras\harry_potter_pedra_filosofal.md,Verb,poder,247
3,obras\harry_potter_pedra_filosofal.md,Verb,ver,218
3,obras\harry_potter_pedra_filosofal.md,Verb,ficar,206
3,obras\harry_potter_pedra_filosofal.md,Verb,olhar,195
3,obras\harry_potter_pedra_filosofal.md,Verb,parecer,166
