BOOKNUM,BOOK,ITEMTYPE,ITEM,COUNT
3,obras\harry_potter_pedra_filosofal.md,locais,Mc_Gonagall,59
3,obras\harry_potter_pedra_filosofal.md,locais,Filch,19
3,obras\harry_potter_pedra_filosofal.md,locais,Peeves,17
3,obras\harry_potter_pedra_filosofal.md,locais,Firenze,12
3,obras\harry_potter_pedra_filosofal.md,locais,Estás,11
3,obras\harry_potter_pedra_filosofal.md,locais,Londres,11
3,obras\harry_potter_pedra_filosofal.md,locais,Vá,8
3,obras\harry_potter_pedra_filosofal.md,locais,Natal,6
3,obras\harry_potter_pedra_filosofal.md,locais,Weasleys,6
3,obras\harry_potter_pedra_filosofal.md,locais,Flint,5
3,obras\harry_potter_pedra_filosofal.md,pessoas,Ron,368
3,obras\harry_potter_pedra_filosofal.md,pessoas,Hagrid,319
3,obras\harry_potter_pedra_filosofal.md,pessoas,Hermione,217
3,obras\harry_potter_pedra_filosofal.md,pessoas,Snape,142
3,obras\harry_potter_pedra_filosofal.md,pessoas,Dumbledore,112
3,obras\harry_potter_pedra_filosofal.md,pessoas,Dudley,107
3,obras\harry_potter_pedra_filosofal.md,pessoas,Vernon,98
3,obras\harry_potter_pedra_filosofal.md,pessoas,Neville,80
3,obras\harry_potter_pedra_filosofal.md,pessoas,Malfoy,76
3,obras\harry_potter_pedra_filosofal.md,pessoas,Quirrell,70
3,obras\harry_potter_pedra_filosofal.md,organizações,Dursleys,28
3,obras\harry_potter_pedra_filosofal.md,organizações,Ron,25
3,obras\harry_potter_pedra_filosofal.md,organizações,Charlie,11
3,obras\harry_potter_pedra_filosofal.md,organizações,Wood,11
3,obras\harry_potter_pedra_filosofal.md,organizações,Filch,8
3,obras\harry_potter_pedra_filosofal.md,organizações,Flamel,8
3,obras\harry_potter_pedra_filosofal.md,organizações,Claro,7
3,obras\harry_potter_pedra_filosofal.md,organizações,Norbert,5
3,obras\harry_potter_pedra_filosofal.md,organizações,Dudley,4
3,obras\harry_potter_pedra_filosofal.md,organizações,Mc_Gonagall,4
3,obras\harry_potter_pedra_filosofal.md,misc,Harry,1010
3,obras\harry_potter_pedra_filosofal.md,misc,Hogwarts,25
3,obras\harry_potter_pedra_filosofal.md,misc,Harry Potter,21
3,obras\harry_potter_pedra_filosofal.md,misc,Quidditch,16
3,obras\harry_potter_pedra_filosofal.md,misc,Natal,15
3,obras\harry_potter_pedra_filosofal.md,misc,Muggles,14
3,obras\harry_potter_pedra_filosofal.md,misc,Nimbus,11
3,obras\harry_potter_pedra_filosofal.md,misc,Harry?,8
3,obras\harry_potter_pedra_filosofal.md,misc,Fluffy,7
3,obras\harry_potter_pedra_filosofal.md,misc,Hogwarts.,7
3,obras\harry_potter_pedra_filosofal.md,datas,1997,2
3,obras\harry_potter_pedra_filosofal.md,datas,1945,2
3,obras\harry_potter_pedra_filosofal.md,datas,1998,1
3,obras\harry_potter_pedra_filosofal.md,datas,1473,1
3,obras\harry_potter_pedra_filosofal.md,datas,1709,1
3,obras\harry_potter_pedra_filosofal.md,datas,1637,1
