BOOKNUM,BOOK,CHAPT,ITEM,COUNT,RELATIVECOUNT
3,obras\harry_potter_pedra_filosofal.md,global,negative,1194,0.014117647058823533
3,obras\harry_potter_pedra_filosofal.md,global,neutral,82989,0.980705882352941
3,obras\harry_potter_pedra_filosofal.md,global,positive,1194,0.005176470588235295
3,obras\harry_potter_pedra_filosofal.md,global,compound,,-0.8636647058823529
3,obras\harry_potter_pedra_filosofal.md,1,negative,1607,0.019
3,obras\harry_potter_pedra_filosofal.md,1,neutral,82844,0.979
3,obras\harry_potter_pedra_filosofal.md,1,positive,1607,0.001
3,obras\harry_potter_pedra_filosofal.md,1,compound,,-0.9968
3,obras\harry_potter_pedra_filosofal.md,2,negative,1438,0.017
3,obras\harry_potter_pedra_filosofal.md,2,neutral,81067,0.958
3,obras\harry_potter_pedra_filosofal.md,2,positive,1438,0.025
3,obras\harry_potter_pedra_filosofal.md,2,compound,,0.9916
3,obras\harry_potter_pedra_filosofal.md,3,negative,2115,0.025
3,obras\harry_potter_pedra_filosofal.md,3,neutral,80983,0.957
3,obras\harry_potter_pedra_filosofal.md,3,positive,2115,0.018
3,obras\harry_potter_pedra_filosofal.md,3,compound,,-0.9007
3,obras\harry_potter_pedra_filosofal.md,4,negative,1184,0.014
3,obras\harry_potter_pedra_filosofal.md,4,neutral,82844,0.979
3,obras\harry_potter_pedra_filosofal.md,4,positive,1184,0.007
3,obras\harry_potter_pedra_filosofal.md,4,compound,,-0.9675
3,obras\harry_potter_pedra_filosofal.md,5,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,5,neutral,83268,0.984
3,obras\harry_potter_pedra_filosofal.md,5,positive,1100,0.003
3,obras\harry_potter_pedra_filosofal.md,5,compound,,-0.9956
3,obras\harry_potter_pedra_filosofal.md,6,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,6,neutral,83183,0.983
3,obras\harry_potter_pedra_filosofal.md,6,positive,1100,0.004
3,obras\harry_potter_pedra_filosofal.md,6,compound,,-0.9918
3,obras\harry_potter_pedra_filosofal.md,7,negative,930,0.011
3,obras\harry_potter_pedra_filosofal.md,7,neutral,83268,0.984
3,obras\harry_potter_pedra_filosofal.md,7,positive,930,0.005
3,obras\harry_potter_pedra_filosofal.md,7,compound,,-0.973
3,obras\harry_potter_pedra_filosofal.md,8,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,8,neutral,83437,0.986
3,obras\harry_potter_pedra_filosofal.md,8,positive,1100,0.001
3,obras\harry_potter_pedra_filosofal.md,8,compound,,-0.9868
3,obras\harry_potter_pedra_filosofal.md,9,negative,846,0.01
3,obras\harry_potter_pedra_filosofal.md,9,neutral,83268,0.984
3,obras\harry_potter_pedra_filosofal.md,9,positive,846,0.006
3,obras\harry_potter_pedra_filosofal.md,9,compound,,-0.9496
3,obras\harry_potter_pedra_filosofal.md,10,negative,1184,0.014
3,obras\harry_potter_pedra_filosofal.md,10,neutral,83014,0.981
3,obras\harry_potter_pedra_filosofal.md,10,positive,1184,0.005
3,obras\harry_potter_pedra_filosofal.md,10,compound,,-0.9877
3,obras\harry_potter_pedra_filosofal.md,11,negative,1523,0.018
3,obras\harry_potter_pedra_filosofal.md,11,neutral,83014,0.981
3,obras\harry_potter_pedra_filosofal.md,11,positive,1523,0.002
3,obras\harry_potter_pedra_filosofal.md,11,compound,,-0.9935
3,obras\harry_potter_pedra_filosofal.md,12,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,12,neutral,83352,0.985
3,obras\harry_potter_pedra_filosofal.md,12,positive,1100,0.002
3,obras\harry_potter_pedra_filosofal.md,12,compound,,-0.9942
3,obras\harry_potter_pedra_filosofal.md,13,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,13,neutral,83352,0.985
3,obras\harry_potter_pedra_filosofal.md,13,positive,1100,0.002
3,obras\harry_potter_pedra_filosofal.md,13,compound,,-0.9827
3,obras\harry_potter_pedra_filosofal.md,14,negative,1100,0.013
3,obras\harry_potter_pedra_filosofal.md,14,neutral,83437,0.986
3,obras\harry_potter_pedra_filosofal.md,14,positive,1100,0.001
3,obras\harry_potter_pedra_filosofal.md,14,compound,,-0.989
3,obras\harry_potter_pedra_filosofal.md,15,negative,1184,0.014
3,obras\harry_potter_pedra_filosofal.md,15,neutral,83352,0.985
3,obras\harry_potter_pedra_filosofal.md,15,positive,1184,0.001
3,obras\harry_potter_pedra_filosofal.md,15,compound,,-0.9949
3,obras\harry_potter_pedra_filosofal.md,16,negative,930,0.011
3,obras\harry_potter_pedra_filosofal.md,16,neutral,83521,0.987
3,obras\harry_potter_pedra_filosofal.md,16,positive,930,0.002
3,obras\harry_potter_pedra_filosofal.md,16,compound,,-0.9931
3,obras\harry_potter_pedra_filosofal.md,17,negative,761,0.009
3,obras\harry_potter_pedra_filosofal.md,17,neutral,83606,0.988
3,obras\harry_potter_pedra_filosofal.md,17,positive,761,0.003
3,obras\harry_potter_pedra_filosofal.md,17,compound,,-0.977
